"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ubx",1.10692300316892e-11,0.52071627119548,0.609,0.485,1.54194374341431e-08
"zfh1",1.06239071724675e-08,0.29301590233943,0.642,0.485,1.47991026912472e-05
"mirr",1.09313400382278e-06,0.966891552436507,0.577,0.497,0.00152273566732513
"otp",4.0176571813078e-06,0.516421913591384,0.361,0.434,0.00559659645356177
"caup",0.00196831498165252,0.613544696786272,0.489,0.404,1
"Ptx1",0.0098327989727462,0.462818423175458,0.394,0.418,1
"toy",0.0233365131341923,0.322581430701413,0.763,0.707,1
"slou",0.0687917890549065,0.2711178315187,0.518,0.451,1
"ara",0.17601158151682,0.834928749379583,0.504,0.473,1
"oc",0.512678640139075,0.262081428993108,0.474,0.478,1
"pb",0.565009372061096,0.760770090946931,0.467,0.449,1
"CG18599",0.695776975263594,0.35906551263755,0.442,0.411,1
"vvl",0.911255375334698,0.258482896280044,0.595,0.592,1
