"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"zfh2",6.53383105162517e-52,0.667087135605036,0.887,0.693,9.10162665491386e-49
"hth",2.03421991238797e-42,0.525396970619505,0.996,0.865,2.83366833795645e-39
"HGTX",1.20419277483539e-37,0.2525779508872,0.608,0.44,1.6774405353457e-34
"nub",1.21884944369563e-31,0.409486385443035,0.563,0.294,1.69785727506801e-28
"pdm2",9.4152630905085e-27,1.15851671757423,0.599,0.446,1.31154614850783e-23
"vvl",1.30208900411585e-24,0.299827238034359,0.732,0.589,1.81380998273337e-21
"Lim3",9.01410801041947e-20,0.324472795345802,0.61,0.495,1.25566524585143e-16
"mirr",2.12196871346021e-18,0.476531614308995,0.597,0.496,2.95590241785007e-15
"Dfd",3.61987592099705e-18,0.364961771464272,0.565,0.466,5.04248715794889e-15
"Scr",1.00560308756745e-15,0.838447538462127,0.537,0.366,1.40080510098145e-12
"pb",5.82004523531326e-12,0.409371637811876,0.362,0.451,8.10732301279137e-09
"inv",2.16171244559924e-05,0.296184909014659,0.362,0.392,0.0301126543671975
"Drgx",8.03231468632592e-05,0.304399197309554,0.584,0.565,0.11189014358052
"acj6",0.617833398168027,0.501068527488792,0.5,0.511,1
"Ptx1",0.734718062970005,0.403060705504229,0.452,0.417,1
