p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,Identity
1.97E-253,2.32232672,0.858,0.275,2.72E-249,CG14989,0,0
2.42E-217,2.445069808,0.699,0.206,3.34E-213,Gad1,0,0
2.00E-48,-1.135009253,0.208,0.603,2.76E-44,rad,0,0
2.20E-48,-0.917889847,0.195,0.598,3.05E-44,Fife,0,0
9.27E-41,-1.052874348,0.102,0.435,1.28E-36,VAChT,0,0
2.64E-39,-0.945152804,0.208,0.575,3.64E-35,CG31221,0,0
6.81E-37,-0.803464473,0.231,0.594,9.41E-33,jeb,0,0
1.66E-35,-1.173647292,0.068,0.351,2.29E-31,bma,0,0
1.47E-32,-0.947523541,0.059,0.32,2.04E-28,CG32700,0,0
1.63E-31,-0.956214004,0.057,0.31,2.25E-27,btsz,0,0
5.72E-31,-0.596028761,0.151,0.467,7.90E-27,brat,0,0
5.77E-31,-1.01788503,0.034,0.269,7.98E-27,CG34355,0,0
1.80E-30,-0.561120169,0.127,0.429,2.48E-26,NFAT,0,0
7.39E-30,-1.076295575,0.085,0.341,1.02E-25,Eip93F,0,0
1.31E-29,-0.778155324,0.06,0.308,1.81E-25,Pde8,0,0
1.36E-29,-0.496245247,0.121,0.413,1.88E-25,rdgB,0,0
2.65E-29,-0.493392701,0.117,0.407,3.67E-25,CG12531,0,0
3.12E-28,-0.871281154,0.034,0.253,4.30E-24,cora,0,0
5.02E-28,-0.632808778,0.206,0.516,6.94E-24,Con,0,0
1.62E-27,-0.564281926,0.18,0.485,2.24E-23,Pka-R2,0,0
1.65E-27,-0.409035514,0.119,0.399,2.28E-23,Rab26,0,0
4.00E-27,-0.331151437,0.18,0.502,5.53E-23,Dscam1,0,0
4.77E-27,-0.443429359,0.244,0.597,6.59E-23,CG32809,0,0
6.09E-27,-0.85476828,0.053,0.278,8.42E-23,ChT,0,0
7.55E-27,-0.661277608,0.206,0.507,1.04E-22,rdgA,0,0
1.08E-26,-0.364678522,0.117,0.391,1.49E-22,Acn,0,0
1.35E-26,-0.522152583,0.085,0.332,1.86E-22,CG14762,0,0
1.39E-26,-0.439547933,0.212,0.542,1.92E-22,mask,0,0
2.19E-26,-0.842166856,0.062,0.29,3.03E-22,Elk,0,0
2.36E-26,-0.715457288,0.096,0.344,3.26E-22,jdp,0,0
3.10E-25,-0.291343992,0.104,0.361,4.29E-21,Khc-73,0,0
4.32E-25,-0.498689293,0.134,0.403,5.97E-21,unc-13-4A,0,0
6.18E-25,-0.27242399,0.163,0.458,8.54E-21,dtn,0,0
7.27E-25,-0.27852081,0.129,0.398,1.00E-20,CG43901,0,0
1.42E-24,-0.667071424,0.457,0.77,1.95E-20,heph,0,0
1.94E-24,-0.434485211,0.246,0.564,2.68E-20,CG2269,0,0
2.16E-24,-0.449891926,0.108,0.359,2.99E-20,ChAT,0,0
5.16E-24,-0.356653053,0.14,0.409,7.12E-20,Ptpmeg2,0,0
7.53E-24,-1.577144654,0.034,0.222,1.04E-19,VGlut,0,0
3.45E-23,-0.401690502,0.216,0.514,4.76E-19,Mef2,0,0
3.60E-23,-0.321247204,0.078,0.3,4.98E-19,Pcf11,0,0
3.61E-23,-0.265553421,0.227,0.551,4.98E-19,Smr,0,0
4.36E-23,-0.271649635,0.11,0.354,6.02E-19,Cip4,0,0
5.26E-23,-0.478508452,0.115,0.359,7.27E-19,tna,0,0
9.79E-23,-0.504610881,0.682,0.891,1.35E-18,bru3,0,0
1.03E-22,-0.467356276,0.21,0.502,1.42E-18,rut,0,0
1.14E-22,-0.259741672,0.147,0.413,1.58E-18,seq,0,0
1.45E-22,-0.593627471,0.079,0.296,2.01E-18,rgn,0,0
1.54E-22,-0.251171947,0.2,0.502,2.13E-18,trio,0,0
2.97E-22,-0.378474606,0.138,0.389,4.10E-18,5-HT1A,0,0
3.78E-22,-0.317682562,0.121,0.365,5.23E-18,Mkp3,0,0
5.41E-22,-0.37310208,0.078,0.291,7.47E-18,sd,0,0
8.55E-22,-0.418186467,0.558,0.833,1.18E-17,nAChRalpha6,0,0
8.69E-22,-0.27007111,0.119,0.361,1.20E-17,CG42324,0,0
9.21E-22,-0.272214927,0.238,0.552,1.27E-17,ftz-f1,0,0
9.40E-22,-0.558785493,0.155,0.404,1.30E-17,CG42541,0,0
1.17E-21,-0.429071581,0.11,0.343,1.61E-17,sfl,0,0
1.19E-21,-0.266958461,0.121,0.358,1.65E-17,mspo,0,0
1.27E-21,-0.278954774,0.147,0.407,1.76E-17,CG3638,0,0
1.37E-21,-0.384219072,0.062,0.262,1.89E-17,CG13375,0,0
2.48E-21,-0.431364304,0.062,0.26,3.43E-17,Stat92E,0,0
2.72E-21,-0.294746911,0.125,0.366,3.76E-17,amon,0,0
2.75E-21,-0.533999336,0.102,0.323,3.79E-17,CG6123,0,0
2.89E-21,-0.403973375,0.072,0.276,3.99E-17,CG4294,0,0
3.19E-21,-0.754742543,0.089,0.297,4.40E-17,Rgk1,0,0
6.16E-21,-0.479247083,0.055,0.244,8.51E-17,wge,0,0
6.89E-21,-0.28248693,0.106,0.33,9.51E-17,Spred,0,0
8.72E-21,-0.256937754,0.091,0.306,1.21E-16,bif,0,0
9.01E-21,-0.271505822,0.198,0.474,1.25E-16,Dscam4,0,0
9.27E-21,-0.34221621,0.085,0.295,1.28E-16,CG43759,0,0
1.05E-20,-0.268959026,0.123,0.359,1.45E-16,Alh,0,0
2.03E-20,-0.393026544,0.081,0.286,2.80E-16,tkv,0,0
2.37E-20,-0.610100443,0.076,0.273,3.28E-16,hzg,0,0
2.58E-20,-0.334900557,0.06,0.25,3.57E-16,flfl,0,0
2.60E-20,-0.343528557,0.074,0.273,3.59E-16,Sur-8,0,0
3.29E-20,-0.309591915,0.27,0.59,4.54E-16,14-3-3zeta,0,0
3.54E-20,-0.441552533,0.034,0.203,4.89E-16,28SrRNA-Psi:CR45859,0,0
3.71E-20,-0.948133455,0.017,0.172,5.13E-16,Octbeta1R,0,0
3.79E-20,-0.451801677,0.089,0.294,5.23E-16,CG31191,0,0
4.79E-20,-0.320976401,0.102,0.317,6.61E-16,CG30389,0,0
4.91E-20,-0.348404601,0.125,0.354,6.78E-16,Hs6st,0,0
5.21E-20,-0.379611786,0.14,0.379,7.19E-16,Patronin,0,0
5.30E-20,-0.32259023,0.193,0.467,7.33E-16,dikar,0,0
5.58E-20,-0.593314495,0.055,0.237,7.71E-16,Sytbeta,0,0
6.14E-20,-0.258476141,0.234,0.538,8.49E-16,Tob,0,0
6.26E-20,-0.399060376,0.217,0.504,8.65E-16,CG43347,0,0
6.73E-20,-0.449357287,0.104,0.319,9.30E-16,Trpm,0,0
6.85E-20,-0.535242833,0.454,0.731,9.47E-16,Ca-alpha1T,0,0
8.82E-20,-0.458309057,0.051,0.23,1.22E-15,CG43102,0,0
1.31E-19,-0.342931519,0.244,0.545,1.81E-15,nocte,0,0
1.34E-19,-0.299650832,0.146,0.389,1.86E-15,RhoGAP19D,0,0
1.44E-19,-0.327402614,0.045,0.219,1.99E-15,Ziz,0,0
2.01E-19,-0.289509511,0.096,0.305,2.78E-15,p120ctn,0,0
2.59E-19,-0.369141923,0.284,0.604,3.57E-15,CG11873,0,0
3.70E-19,-0.363895972,0.057,0.236,5.12E-15,mei-W68,0,0
5.96E-19,-0.339749953,0.14,0.371,8.23E-15,igl,0,0
1.12E-18,-0.323223162,0.098,0.299,1.55E-14,beat-IIa,0,0
1.45E-18,-0.275677819,0.087,0.283,2.00E-14,CG13954,0,0
2.58E-18,-0.328370496,0.091,0.287,3.57E-14,kek1,0,0
2.78E-18,-0.74452687,0.539,0.82,3.85E-14,mub,0,0
4.29E-18,-0.39944411,0.144,0.366,5.92E-14,CG34370,0,0
1.18E-17,-0.328604748,0.089,0.279,1.63E-13,Ddc,0,0
1.42E-17,-0.827872033,0.074,0.245,1.96E-13,lncRNA:CR46006,0,0
1.49E-17,-0.505089036,0.064,0.235,2.06E-13,RanBPM,0,0
1.77E-17,-0.390101929,0.074,0.251,2.45E-13,CG30089,0,0
2.02E-17,-0.330946717,0.314,0.625,2.78E-13,Ace,0,0
3.15E-17,-0.25306815,0.265,0.551,4.35E-13,Pde9,0,0
3.60E-17,-0.51505285,0.129,0.33,4.98E-13,beat-IIIc,0,0
7.81E-17,-0.259338205,0.064,0.232,1.08E-12,glo,0,0
1.00E-16,-0.324560254,0.325,0.632,1.39E-12,pre-rRNA:CR45845,0,0
1.45E-16,-0.346525197,0.25,0.506,2.00E-12,CG34354,0,0
2.61E-16,-0.29038894,0.132,0.337,3.60E-12,fz,0,0
3.32E-16,-0.711849136,0.076,0.24,4.59E-12,Lim1,0,0
3.93E-16,-0.458934076,0.104,0.287,5.43E-12,pyd,0,0
3.96E-16,-0.276929871,0.042,0.188,5.48E-12,CG1578,0,0
5.67E-16,-0.263009129,0.329,0.644,7.84E-12,Cirl,0,0
9.27E-16,-0.250982574,0.27,0.545,1.28E-11,Nlg3,0,0
9.28E-16,-0.42445944,0.059,0.214,1.28E-11,CG10384,0,0
9.35E-16,-0.283344786,0.053,0.205,1.29E-11,scyl,0,0
1.04E-15,-1.025798219,0.032,0.166,1.44E-11,sNPF,0,0
1.12E-15,-0.624138407,0.025,0.155,1.55E-11,beat-Vc,0,0
1.28E-15,-0.311688043,0.274,0.549,1.76E-11,Pka-C1,0,0
1.57E-15,-0.598612754,0.045,0.189,2.17E-11,velo,0,0
1.79E-15,-0.305801733,0.032,0.167,2.48E-11,Fur2,0,0
2.25E-15,-0.688736364,0.034,0.169,3.10E-11,Neto,0,0
2.30E-15,-0.401788465,0.015,0.136,3.17E-11,28SrRNA-Psi:CR40596,0,0
2.38E-15,-0.614401265,0.04,0.178,3.29E-11,KCNQ,0,0
2.96E-15,-0.264372301,0.06,0.214,4.08E-11,tbc,0,0
3.35E-15,-0.487951086,0.072,0.23,4.63E-11,Dop1R2,0,0
3.51E-15,-0.284036298,0.113,0.297,4.84E-11,Ccn,0,0
4.91E-15,-0.273999231,0.051,0.196,6.79E-11,svr,0,0
5.85E-15,-0.265053849,0.049,0.193,8.08E-11,CG17364,0,0
6.30E-15,-0.306675274,0.045,0.186,8.70E-11,Btk29A,0,0
7.27E-15,-0.28800405,0.049,0.192,1.00E-10,dock,0,0
9.53E-15,-0.308727995,0.038,0.172,1.32E-10,CG1316,0,0
1.00E-14,-0.274420289,0.053,0.197,1.38E-10,gol,0,0
1.09E-14,-0.281512713,0.066,0.218,1.51E-10,CG32052,0,0
1.18E-14,-0.30737813,0.042,0.177,1.63E-10,Moca-cyp,0,0
1.29E-14,-0.304220881,0.032,0.161,1.78E-10,CG8176,0,0
1.31E-14,-0.353316548,0.04,0.174,1.81E-10,Atet,0,0
1.32E-14,-0.44584818,0.064,0.214,1.82E-10,CG30158,0,0
1.37E-14,-0.344486414,0.089,0.253,1.89E-10,Trim9,0,0
1.68E-14,-0.302645153,0.418,0.743,2.32E-10,Nrx-1,0,0
1.72E-14,-0.309506551,0.045,0.183,2.37E-10,CG30015,0,0
1.78E-14,-0.499044942,0.021,0.139,2.47E-10,FASN1,0,0
1.85E-14,-0.360142769,0.034,0.163,2.55E-10,Hsp83,0,0
2.27E-14,-1.0959592,0.009,0.118,3.13E-10,ey,0,0
2.40E-14,-0.301117283,0.03,0.155,3.31E-10,Vrp1,0,0
2.42E-14,-0.2602706,0.353,0.625,3.34E-10,Gfrl,0,0
2.48E-14,-0.253223947,0.049,0.188,3.43E-10,fl(2)d,0,0
2.79E-14,-0.491256837,0.023,0.142,3.85E-10,CG14082,0,0
4.17E-14,-0.54535678,0.053,0.191,5.77E-10,mAChR-B,0,0
4.53E-14,-0.26680491,0.051,0.189,6.26E-10,CG17724,0,0
4.72E-14,-0.408029222,0.021,0.137,6.52E-10,CG8726,0,0
6.41E-14,-0.533883936,0.015,0.125,8.85E-10,Tat,0,0
6.92E-14,-0.413446057,0.049,0.184,9.56E-10,rn,0,0
6.97E-14,-0.287660688,0.318,0.614,9.63E-10,cic,0,0
7.05E-14,-0.467699738,0.032,0.155,9.74E-10,Rgk3,0,0
7.66E-14,-0.335124686,0.418,0.723,1.06E-09,dysc,0,0
8.28E-14,-0.255571726,0.057,0.196,1.14E-09,Oamb,0,0
1.00E-13,-0.441937615,0.019,0.131,1.39E-09,Cf2,0,0
1.14E-13,1.497483403,0.346,0.248,1.57E-09,DIP-lambda,0,0
1.25E-13,-0.312488359,0.036,0.16,1.73E-09,SPR,0,0
1.33E-13,-0.256128131,0.045,0.175,1.84E-09,arr,0,0
1.58E-13,-0.45746549,0.032,0.153,2.18E-09,sdk,0,0
3.03E-13,-0.32154665,0.042,0.166,4.18E-09,CG46339,0,0
3.04E-13,-0.265346187,0.04,0.164,4.20E-09,Tpr2,0,0
3.99E-13,-0.253681022,0.043,0.169,5.52E-09,sol,0,0
4.20E-13,-0.354318371,0.049,0.178,5.80E-09,PVRAP,0,0
4.22E-13,-0.467046891,0.021,0.13,5.83E-09,CG32547,0,0
4.78E-13,-0.391116964,0.1,0.254,6.60E-09,zfh2,0,0
5.36E-13,-0.379788972,0.042,0.164,7.40E-09,tok,0,0
5.81E-13,-0.253659492,0.019,0.126,8.02E-09,Bsg25D,0,0
5.83E-13,-0.549826221,0.023,0.132,8.05E-09,Rgk2,0,0
6.37E-13,-0.31955323,0.098,0.253,8.80E-09,CG43373,0,0
8.52E-13,-0.410976319,0.026,0.137,1.18E-08,Cp190,0,0
9.82E-13,-0.322234862,0.028,0.14,1.36E-08,CG14535,0,0
1.14E-12,-0.257613781,0.047,0.172,1.58E-08,beat-IV,0,0
1.27E-12,-0.439078643,0.015,0.116,1.75E-08,sowah,0,0
1.28E-12,-0.25031689,0.096,0.248,1.77E-08,CG14431,0,0
1.45E-12,-0.388858226,0.149,0.319,2.01E-08,toy,0,0
1.80E-12,-0.356469367,0.032,0.145,2.49E-08,nuf,0,0
2.01E-12,-0.357915011,0.038,0.154,2.78E-08,CG17233,0,0
2.19E-12,-0.378273738,0.076,0.213,3.03E-08,CG32204,0,0
2.50E-12,-0.357430163,0.026,0.134,3.46E-08,Socs36E,0,0
2.99E-12,-0.361195445,0.013,0.11,4.13E-08,CkIIalpha,0,0
4.89E-12,-0.407968909,0.032,0.141,6.76E-08,CG1688,0,0
5.03E-12,-0.324490993,0.049,0.169,6.95E-08,Fas3,0,0
6.07E-12,-0.600255048,0.038,0.149,8.39E-08,Ptip,0,0
7.29E-12,-0.305424786,0.025,0.127,1.01E-07,CG34408,0,0
7.45E-12,-0.393175057,0.017,0.114,1.03E-07,CG42797,0,0
