"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ATPsyndelta",1.29634849925486e-272,-3.54968986229935,1,1,2.82228031772776e-268,"ATPsyndelta"
"lncRNA:roX1",1.3273077691184e-236,5.18067048205865,1,1,2.88968174414767e-232,"lncRNA:roX1"
"Yp1",1.06075732938866e-221,-5.17323702911954,0.917,1,2.30937478181206e-217,"Yp1"
"lncRNA:roX2",6.06789873923585e-144,4.1738457036184,1,1,1.32104223451904e-139,"lncRNA:roX2"
"Yp2",9.03794399681894e-142,-4.38799062912934,0.958,1,1.96765078754745e-137,"Yp2"
"Mnr",3.11688256466991e-125,-0.823220460211747,1,1,6.78576503154286e-121,"Mnr"
"Yp3",6.64638264871343e-121,-4.24142394500737,0.667,1,1.4469839664514e-116,"Yp3"
"CG11122",3.53700633610155e-80,-0.737081872458457,1,1,7.70041649432668e-76,"CG11122"
"lncRNA:CR31451",1.98993591404792e-79,0.929761103056664,1,1,4.33228947847373e-75,"lncRNA:CR31451"
"CG42540",1.05942602336822e-78,0.527160447294681,1,1,2.30647639547495e-74,"CG42540"
"ct",3.92521822687643e-73,-0.588772687265495,1,1,8.54559260173268e-69,"ct"
"lncRNA:CR45668",1.06212548554493e-71,-1.2093970597014,1,1,2.31235339457986e-67,"lncRNA:CR45668"
"CG43867",4.34151410584096e-70,-0.368948515302101,1,1,9.45191035982636e-66,"CG43867"
"asRNA:CR45629",2.32210571019385e-69,-3.3343858219085,0.208,1,5.05545634166304e-65,"asRNA:CR45629"
"N",1.97986559703218e-61,-0.845683294484677,1,1,4.31036539129876e-57,"N"
"Sxl",6.50876877107453e-61,-0.442651552700071,1,1,1.41702404915064e-56,"Sxl"
"CG42594",1.658312873264e-59,-0.621913731000266,1,1,3.61031295638306e-55,"CG42594"
"Dora",1.17366705014143e-58,-0.476491775960701,1,1,2.55519053486291e-54,"Dora"
"CG14442",1.30314210293573e-57,-0.613689682526754,1,1,2.83707067230137e-53,"CG14442"
"Ddc",3.63513075426308e-56,0.996437923651336,1,1,7.91404316510616e-52,"Ddc"
"Ten-a",6.90479570174414e-56,-0.442618745425061,1,1,1.50324307222672e-51,"Ten-a"
"lncRNA:CR44997",1.148736034358e-55,-0.595980547633782,1,1,2.5009132204008e-51,"lncRNA:CR44997"
"CG15465",2.66217521253784e-55,-0.382743566352823,1,1,5.79582165521613e-51,"CG15465"
"Abl",2.98882162291303e-52,-0.537161451211643,1,1,6.50696355524396e-48,"Abl"
"hwt",2.41360115917204e-48,-0.410490158838014,1,1,5.25465108363344e-44,"hwt"
"bif",3.76979572663003e-48,-0.63248313506959,1,1,8.20722227644624e-44,"bif"
"wts",8.43485266033004e-46,-0.522707875361611,1,1,1.83635177268045e-41,"wts"
"CG13337",1.04587288520863e-44,-0.918981334958657,1,1,2.27696985838771e-40,"CG13337"
"Spred",3.10098992778292e-44,0.565983202612419,1,1,6.75116517177619e-40,"Spred"
"CG45002",3.54821538783561e-44,-0.407580837870678,1,1,7.72481972085691e-40,"CG45002"
"Ephrin",3.63344281965305e-44,0.772628753532705,1,1,7.91036836266665e-40,"Ephrin"
"toy",7.31333526967283e-44,0.809594689708579,1,1,1.59218622156047e-39,"toy"
"Rbp1-like",1.29666233009667e-42,-0.545167361181419,1,1,2.82296355885347e-38,"Rbp1-like"
"X11Lbeta",1.24294755737299e-40,-0.463688264955894,1,1,2.70602112715675e-36,"X11Lbeta"
"Bx",1.14780206295796e-39,-0.510700033407194,1,1,2.49887987126577e-35,"Bx"
"lncRNA:CR44999",2.30102633805148e-39,-0.850767161380575,1,1,5.00956444057188e-35,"lncRNA:CR44999"
"Drak",4.84305857800932e-39,-0.524765116364816,1,1,1.05438228301841e-34,"Drak"
"CG14989",1.37047789054789e-38,0.794625911847463,1,1,2.98366741551182e-34,"CG14989"
"Neto",1.04675546372438e-37,-0.605364132187508,1,1,2.27889132007434e-33,"Neto"
"pre-rRNA:CR45856",2.28357883761045e-37,-1.02376419127948,1,1,4.97157948736172e-33,"pre-rRNA:CR45856"
"dpr8",4.16292332298398e-37,-0.507984175002616,1,1,9.06310036646843e-33,"dpr8"
"dome",6.45010863160867e-36,-0.555113838564115,1,1,1.40425315018752e-31,"dome"
"scyl",8.26379965655772e-35,0.692397123328952,1,1,1.79911182322918e-30,"scyl"
"OtopLa",1.04958615121991e-33,0.518372943033036,1,1,2.28505400982088e-29,"OtopLa"
"rudhira",1.14259429621043e-33,-0.460054478023574,1,1,2.48754204227974e-29,"rudhira"
"Syt4",3.88967350571992e-33,0.539352185996247,1,1,8.46820818930283e-29,"Syt4"
"Caper",4.96628768578362e-33,0.596995149320214,1,1,1.08121049207195e-28,"Caper"
"tyf",6.5789188855908e-33,-0.399779349142399,1,1,1.43229643058197e-28,"tyf"
"kairos",1.08056866852918e-32,-0.465753928367282,1,1,2.35250604825488e-28,"kairos"
"jim",2.03109846273189e-32,0.427891104275695,1,1,4.42190446321359e-28,"jim"
"Lim1",2.05213999248642e-32,-0.489749994996991,1,1,4.46771397764218e-28,"Lim1"
"mGluR",2.28931487754168e-32,0.607768944736197,1,1,4.98406741989599e-28,"mGluR"
"Slob",5.75993054093687e-32,0.465756236943736,1,1,1.25399447806736e-27,"Slob"
"28SrRNA-Psi:CR40741",9.78151674300026e-32,-1.18809124070198,1,1,2.12953401011859e-27,"28SrRNA-Psi:CR40741"
"Crg-1",1.33375568157223e-31,1.17868585974465,1,1,2.90371949435091e-27,"Crg-1"
"dar1",1.96453207205875e-31,-1.52282879597657,0.958,1,4.27698277407911e-27,"dar1"
"NetB",2.08938467478807e-31,-0.430135485777691,1,1,4.54879937548111e-27,"NetB"
"Socs16D",2.97052702260713e-31,-0.530197300291819,1,1,6.46713438091799e-27,"Socs16D"
"CG43737",3.43601041264678e-31,-0.409434257917826,1,1,7.4805382693733e-27,"CG43737"
"Muc14A",9.4302709785571e-31,1.69710448784252,1,0.833,2.05306429474167e-26,"Muc14A"
"Myc",1.45163273056708e-30,-0.505496998918467,1,1,3.16034961771759e-26,"Myc"
"Hmt4-20",1.51394610274539e-30,-0.623238111657867,1,1,3.296012060287e-26,"Hmt4-20"
"wapl",2.04273136135448e-30,-0.544407390943989,1,1,4.44723044680484e-26,"wapl"
"asRNA:CR45479",2.21637966529647e-30,1.29174136396172,1,1,4.82528016931695e-26,"asRNA:CR45479"
"CG32204",6.98547841183528e-30,0.625951937928715,1,1,1.52080850504066e-25,"CG32204"
"Ubi-p5E",8.10830089711993e-30,-0.929790503717874,1,1,1.76525818831198e-25,"Ubi-p5E"
"pcx",1.27198792130625e-29,-0.62557397747671,1,1,2.76924490347584e-25,"pcx"
"Ten-m",4.007252637023e-29,-0.274691191610841,1,1,8.72418971606278e-25,"Ten-m"
"osy",4.44845441968175e-29,1.21860389964013,1,1,9.68473011708913e-25,"osy"
"Mur2B",1.1001941984248e-28,-0.480739057360775,1,1,2.39523278939063e-24,"Mur2B"
"CG9512",1.10532876033982e-28,-1.50548887749696,0.958,1,2.40641124413583e-24,"CG9512"
"CG46309",1.63154291373799e-28,0.75771144790921,1,1,3.55203207749897e-24,"CG46309"
"rho",1.64754355086743e-28,0.794983687971947,1,1,3.58686706459349e-24,"rho"
"CG32017",1.92836958884793e-28,0.642164943841158,1,1,4.19825343188082e-24,"CG32017"
"tty",2.13861366832507e-28,-0.433342925997619,1,1,4.6559758173105e-24,"tty"
"alpha-Man-Ia",3.42035112693879e-28,-0.438257924771147,1,1,7.44644643845844e-24,"alpha-Man-Ia"
"nocte",4.23040827604799e-28,-0.494208760648321,1,1,9.21002185778408e-24,"nocte"
"Cals",5.37494213600836e-28,0.579488572251061,1,1,1.17017865243038e-23,"Cals"
"east",5.62939144245024e-28,-0.338010910285322,1,1,1.22557481093584e-23,"east"
"CG1812",6.32459134270804e-28,-0.608208589172063,1,1,1.37692678122097e-23,"CG1812"
"Lsd-2",1.91767194055663e-27,-1.06931206007465,1,1,4.17496358178585e-23,"Lsd-2"
"anne",2.24387340814935e-27,0.517218377715829,1,1,4.88513679688195e-23,"anne"
"disco-r",2.47890717439477e-27,-0.787140812085513,1,1,5.39682880937485e-23,"disco-r"
"28SrRNA-Psi:CR41609",5.52199754799523e-27,-1.35884306060789,1,1,1.20219408617404e-22,"28SrRNA-Psi:CR41609"
"Dyrk3",6.01745819335194e-27,0.609258735918256,1,1,1.31006082327465e-22,"Dyrk3"
"nAChRalpha3",7.67831767162868e-27,-0.410596941085556,1,1,1.67164654029028e-22,"nAChRalpha3"
"p120ctn",1.21694266916388e-26,0.581211359959995,1,1,2.64940588503669e-22,"p120ctn"
"zld",1.86823712895221e-26,0.671276567263484,1,1,4.06733905344185e-22,"zld"
"dati",1.26877613027439e-25,0.50022349538505,1,1,2.76225251322038e-21,"dati"
"HUWE1",2.24717705325319e-25,-0.63098838987284,1,1,4.89232916263753e-21,"HUWE1"
"Rnf11",2.25708622913863e-25,0.653287509061123,1,1,4.9139024294577e-21,"Rnf11"
