"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ATPsyndelta",0,-3.92402938516051,1,1,0,"ATPsyndelta"
"lncRNA:roX1",0,5.22815725310463,1,1,0,"lncRNA:roX1"
"lncRNA:roX2",2.02626145925009e-197,3.87863452870232,1,0.958,4.41137382293337e-193,"lncRNA:roX2"
"Yp1",8.78209631408701e-169,-4.29850385073481,0.958,1,1.91195018853988e-164,"Yp1"
"Yp2",5.07435848643289e-149,-3.86917611482835,1,1,1.1047385860813e-144,"Yp2"
"Mnr",8.69508640717374e-135,-0.765794161359519,1,1,1.8930072617058e-130,"Mnr"
"lncRNA:CR45668",4.36447138671774e-115,-1.26798661796342,1,1,9.50189065602319e-111,"lncRNA:CR45668"
"Yp3",7.60127274288705e-114,-3.34136037107072,0.917,1,1.65487308885394e-109,"Yp3"
"Sxl",4.66306413645096e-108,-0.602326110223646,1,1,1.01519569314674e-103,"Sxl"
"asRNA:CR45629",4.73138010522446e-103,-3.58357629001291,0.5,1,1.03006876270842e-98,"asRNA:CR45629"
"lncRNA:CR31451",2.45042377789917e-87,1.00598958487694,1,1,5.33481760686429e-83,"lncRNA:CR31451"
"Ten-a",4.26246657400125e-79,-0.507364204935781,1,1,9.27981597825813e-75,"Ten-a"
"CG11122",1.2812536785316e-73,-0.76428170792146,1,1,2.78941738353116e-69,"CG11122"
"Dora",7.39904977322506e-69,-0.550768734809981,1,1,1.61084712612883e-64,"Dora"
"CG11417",1.64042429357164e-68,-1.27286145439719,1,1,3.57136772953482e-64,"CG11417"
"CG43867",8.61647169224091e-65,-0.362718780625755,1,1,1.87589205211777e-60,"CG43867"
"CG42594",1.48762095622009e-63,-0.650066407109574,1,1,3.23869958378676e-59,"CG42594"
"jim",4.1105497374405e-60,0.509460674873587,1,1,8.94907783338172e-56,"jim"
"N",1.15900942527427e-59,-1.45470387453273,1,1,2.52327941976462e-55,"N"
"fru",5.45160524045878e-57,0.785065139272356,1,1,1.18686897690028e-52,"fru"
"CG42540",6.20785982327978e-57,0.492635172616008,1,1,1.35151316212624e-52,"CG42540"
"ct",6.67300912934563e-56,-0.757313682040218,1,1,1.45278081754984e-51,"ct"
"CG15465",6.56712215148324e-54,-0.335042406324747,1,1,1.42972816359942e-49,"CG15465"
"NetB",3.78224026255768e-53,-0.514297888078074,1,1,8.23431527561432e-49,"NetB"
"mgl",1.33586162385069e-51,-0.484734707618237,1,1,2.90830434128534e-47,"mgl"
"hwt",8.9550298982179e-51,-0.426240472786586,1,1,1.94959955914102e-46,"hwt"
"Ubi-p5E",3.05732334389033e-48,-1.1406953723939,1,1,6.65609865198363e-44,"Ubi-p5E"
"bif",4.26415077688609e-48,-0.637331116930294,1,1,9.2834826563587e-44,"bif"
"Syt4",2.20476623947922e-46,0.558106828332709,1,1,4.79999657997021e-42,"Syt4"
"Slob",9.63740632863662e-46,0.453534968400973,1,1,2.09815973180748e-41,"Slob"
"dpr8",3.52699145509474e-44,-0.469459680184162,1,1,7.67861309688676e-40,"dpr8"
"Caper",2.78561779629272e-43,0.574930754474033,1,1,6.06456850430887e-39,"Caper"
"stumps",3.75884668538857e-43,-1.12025979962147,1,1,8.18338511875946e-39,"stumps"
"zld",4.87362320631277e-43,0.752920322414736,1,1,1.06103650824635e-38,"zld"
"apolpp",6.49826893774665e-43,-1.40613289616547,1,1,1.41473813043682e-38,"apolpp"
"toy",1.08842965039814e-42,0.822573672606051,1,1,2.36962019188178e-38,"toy"
"wapl",2.68984660884617e-42,-0.58926202854746,1,1,5.856065052119e-38,"wapl"
"OtopLa",1.08638561231618e-41,0.48700226275029,1,1,2.36517011657355e-37,"OtopLa"
"Msr-110",3.41391535866566e-41,-1.42984874114976,1,1,7.43243512735102e-37,"Msr-110"
"scyl",3.5844354610257e-39,0.780718467699504,1,1,7.80367444219906e-35,"scyl"
"pcx",6.02945628806831e-39,-0.680865472794679,1,1,1.31267292847535e-34,"pcx"
"Ephrin",6.77566499259464e-39,0.660722196747468,1,1,1.47513002553778e-34,"Ephrin"
"lncRNA:CR44997",4.55899262098517e-38,-0.467829812265768,1,1,9.9253828351468e-34,"lncRNA:CR44997"
"CG2962",1.41071524428331e-37,-1.44988827016018,0.417,1,3.0712681583292e-33,"CG2962"
"X11Lbeta",1.48377609735271e-37,-0.441654470077477,1,1,3.23032894154659e-33,"X11Lbeta"
"CG42340",4.53120145533173e-37,-0.376344166612625,1,1,9.8648786884027e-33,"CG42340"
"tyf",1.01272324291017e-36,-0.373957447352763,1,1,2.20479977213972e-32,"tyf"
"Cals",1.15242751896903e-36,0.561746641758719,1,1,2.50894995154748e-32,"Cals"
"CG45002",2.8178898492519e-36,-0.373202652737044,1,1,6.13482799080631e-32,"CG45002"
"lncRNA:CR40469",3.85385342993793e-36,-1.63266053891541,1,1,8.39022430231787e-32,"lncRNA:CR40469"
"CG43737",2.16528046599e-35,-0.39623913913115,1,1,4.71403210250682e-31,"CG43737"
"CG32767",2.32897382507784e-35,-0.3957229183691,1,1,5.07040891457697e-31,"CG32767"
"CG12994",2.96300603003051e-35,-0.747158113523084,1,1,6.45076042797942e-31,"CG12994"
"Bx",4.45232002145698e-35,-0.497019641508912,1,1,9.69314591871398e-31,"Bx"
"tty",4.87393334696242e-35,-0.491633739285214,1,1,1.06110402896719e-30,"tty"
"Spred",5.40877727244138e-35,0.519853668347438,1,1,1.17754489998321e-30,"Spred"
"trv",1.57881121609644e-34,0.444834545137016,1,1,3.43722989856355e-30,"trv"
"lncRNA:CR44999",1.9130671962769e-34,-0.72022260146189,1,1,4.16493859301444e-30,"lncRNA:CR44999"
"alpha-Man-Ia",3.25368361961598e-34,-0.420666811974918,1,1,7.08359460826596e-30,"alpha-Man-Ia"
"pre-rRNA:CR45856",1.26169864671817e-33,-0.94907003636269,1,1,2.74684412377013e-29,"pre-rRNA:CR45856"
"28SrRNA-Psi:CR40741",1.39175384135204e-33,-1.14016793183149,1,1,3.02998728800752e-29,"28SrRNA-Psi:CR40741"
"Neto",1.53471081398366e-33,-0.553729831246613,1,1,3.34121891312383e-29,"Neto"
"IP3K2",3.41280902037937e-33,-1.18081975363605,1,1,7.43002651826792e-29,"IP3K2"
"CG32017",6.46836691893573e-33,0.617559171324606,1,1,1.4082281619215e-28,"CG32017"
"asRNA:CR45479",9.44414073787909e-33,1.29310500672641,1,1,2.05608388004366e-28,"asRNA:CR45479"
"kairos",1.30219583562537e-32,-0.477490880659184,1,1,2.83501055373998e-28,"kairos"
"Socs16D",1.49076814123087e-32,-0.457030854920827,1,1,3.24555132027373e-28,"Socs16D"
"east",1.9097113470973e-32,-0.37809697459783,1,1,4.15763257376552e-28,"east"
"CG13337",1.95682609135208e-32,-0.70696225356816,1,1,4.26020608348261e-28,"CG13337"
"CG14431",3.38406026732304e-32,-0.525672380776733,1,1,7.36743760798899e-28,"CG14431"
"trr",4.04327139082321e-32,-0.814704866489778,1,1,8.80260614496121e-28,"trr"
"Rbp1-like",4.30599341661872e-32,-0.455078941658206,1,1,9.37457826732061e-28,"Rbp1-like"
"htk",1.57256542168671e-31,-0.751439635149015,1,1,3.42363217955413e-27,"htk"
"Nckx30C",1.65881326724441e-31,0.387914730099859,1,1,3.61140236411781e-27,"Nckx30C"
"Crg-1",1.88357460152505e-31,1.14109951730082,1,1,4.10073026498018e-27,"Crg-1"
"p120ctn",1.98941238064772e-31,0.524767445258034,1,1,4.33114969390816e-27,"p120ctn"
"Ppn",2.04899722809489e-31,-1.18814262288554,1,0.958,4.46087186528539e-27,"Ppn"
"dome",2.21694999754747e-31,-0.563006869798698,1,1,4.82652183966061e-27,"dome"
"Hmt4-20",2.87427824683494e-31,-0.665864299659679,1,1,6.25759117118435e-27,"Hmt4-20"
"Atpalpha",9.06047529516814e-31,0.444257375353294,1,1,1.97255607651106e-26,"Atpalpha"
"CG5937",1.55344972789922e-30,-0.66112679998633,1,1,3.3820154026094e-26,"CG5937"
"gypsy{}615",3.28305532018515e-30,0.672750741741997,1,1,7.14753973757508e-26,"gypsy{}615"
"Hers",3.89626786330607e-30,-0.264816283887176,1,1,8.48256476520364e-26,"Hers"
"PMCA",4.42406134012736e-30,0.396290888242842,1,1,9.63162394359127e-26,"PMCA"
"CG14442",8.31959996603397e-30,-0.541962221798191,1,1,1.81126010860526e-25,"CG14442"
"CG43689",8.54629552484103e-30,-0.73896301115436,1,1,1.86061399871314e-25,"CG43689"
"Pka-R2",9.48708733155598e-30,0.437352634977788,1,1,2.06543378295305e-25,"Pka-R2"
"side-VIII",1.01635741086125e-29,-0.338009765222257,1,1,2.21271171918602e-25,"side-VIII"
"pan",1.6083387666561e-29,0.489044365814141,1,1,3.501514328887e-25,"pan"
"Abl",1.91543688892668e-29,-0.315771338815443,1,1,4.17009765088228e-25,"Abl"
"CG43759",5.97460977884584e-29,-0.367629098366943,1,1,1.30073229495253e-24,"CG43759"
"otp",7.81259092084465e-29,1.22310031629563,1,1,1.70087916937709e-24,"otp"
"28SrRNA-Psi:CR45855",1.19145109128848e-28,-1.40015709055968,1,1,2.59390817084415e-24,"28SrRNA-Psi:CR45855"
"tou",2.94777648481931e-28,-0.237830883978252,1,1,6.41760418510013e-24,"tou"
"Adar",3.49455557086245e-28,0.437262290438948,1,1,7.60799693332464e-24,"Adar"
